Cargo,Military,Carrier,Cruise,Tankers
0.0029694457,0.0018235272,0.004077399,0.9896854,0.0014442059
0.004062463,0.010796237,0.0020242603,0.9819969,0.0011201568
0.009825516,0.012991774,0.007960476,0.9640783,0.005143931
0.0010947001,0.9950571,0.001389821,0.00092155964,0.0015367642
0.01501988,0.21712247,0.0022735158,0.7633152,0.002268896
0.00519713,0.001870128,0.0010461556,0.98966885,0.0022178818
0.0050182673,0.0025602924,0.0011601166,0.9892717,0.0019896564
0.008784111,0.9784894,0.005170378,0.0023185955,0.005237559
0.002605127,0.993654,0.0007827128,0.0007098514,0.0022483654
0.0063176965,0.0010916665,0.00044866715,0.9892892,0.0028528273
0.0065106447,0.003340553,0.0036708028,0.98221195,0.004266058
0.006784627,0.00525874,0.0022640647,0.982193,0.003499667
0.0016393368,0.0015072366,0.00094674254,0.9946754,0.0012312792
0.6365941,0.08525303,0.0058272565,0.2696089,0.002716703
0.0055628573,0.9796965,0.005604397,0.0039036544,0.005232592
0.005287664,0.9821793,0.0033430168,0.0029672943,0.006222709
0.029117826,0.039336607,0.00037757252,0.9305848,0.0005832917
0.008027277,0.976382,0.006305296,0.0029513082,0.0063341307
0.0026144097,0.9933171,0.0015363565,0.00088122586,0.0016508069
0.0039754063,0.003345582,0.00080102554,0.9908844,0.0009935725
0.007906109,0.98775136,0.001677274,0.0011363064,0.0015288942
0.0030822463,0.0024143506,0.0011841094,0.99219733,0.0011219939
0.0022868586,0.9916202,0.0021407744,0.0011259223,0.0028263037
0.005929902,0.004294803,0.0016855446,0.9811916,0.0068981852
0.0037470344,0.004655218,0.0009923228,0.98850787,0.0020975475
0.0048098788,0.0030275958,0.003947532,0.9863198,0.0018952715
0.03692815,0.005925969,0.0019974986,0.95264137,0.0025070566
0.00287893,0.003071263,0.001107789,0.9918531,0.0010889206
0.0033356855,0.0020604571,0.0014704275,0.99129987,0.0018335512
0.007345994,0.0037430413,0.005030914,0.98045987,0.0034202307
0.0055235187,0.002424307,0.0013508828,0.9817213,0.0089801
0.023466531,0.0043830154,0.003443081,0.9645395,0.004167878
0.033662472,0.0571487,0.013397617,0.85418546,0.041605838
0.0037961812,0.0026804598,0.00052103255,0.9920496,0.0009528197
0.0055355094,0.0011471844,0.00073356257,0.9916487,0.0009350519
0.003069714,0.002498688,0.0015805538,0.9907719,0.0020791546
0.003004474,0.0028325259,0.0017094454,0.9896598,0.002793849
0.0028161756,0.0012017996,0.0016106594,0.9925009,0.001870509
0.0037769163,0.00070037594,0.00095126976,0.9925571,0.0020143571
0.0014358003,0.010576181,0.0011572788,0.98594093,0.0008898549
0.003668163,0.017852074,0.0014173184,0.9747968,0.002265736
0.00671327,0.004790095,0.0072092214,0.97634965,0.004937852
0.000990455,0.0003233187,0.0005616394,0.9968374,0.0012871625
0.0020247079,0.00045700645,0.0015838037,0.9954282,0.0005063098
0.008253858,0.98633814,0.0018579913,0.0017009877,0.0018489736
0.0029921401,0.9863441,0.002395478,0.00570939,0.0025588837
0.0037996913,0.0016317226,0.0008841483,0.9916563,0.002028128
0.01212576,0.005885003,0.0028738752,0.9737519,0.005363509
0.002000373,0.0027383934,0.00073711976,0.9930872,0.0014369261
0.0012976462,0.0006001071,0.0008386434,0.9965629,0.0007007349
0.0035209814,0.98755956,0.00047890426,0.0020857358,0.006354901
0.030492606,0.9041784,0.055197857,0.002852281,0.0072789514
0.013869751,0.0053679403,0.0062719816,0.97007346,0.004416903
0.035131063,0.22271778,0.050772388,0.66613233,0.025246408
0.00578198,0.0076945005,0.0033198474,0.98034513,0.0028585084
0.02057987,0.010453043,0.00859254,0.95507413,0.0053004804
0.007338753,0.0067198384,0.0059534116,0.9750649,0.004923094
0.0012850561,0.0032183416,0.0006351555,0.99411297,0.00074855343
0.012109596,0.96738756,0.002250027,0.01320461,0.0050482494
0.0037183133,0.002008269,0.0044255913,0.98776734,0.0020805323
0.0011909734,0.00063062826,0.0018057984,0.99587095,0.00050174
0.0021317836,0.001455552,0.00135815,0.99386805,0.001186509
0.0017970949,0.0020893323,0.0010156503,0.9926601,0.0024378393
0.0059936875,0.0018823642,0.0019665058,0.9891075,0.0010499479
0.004299743,0.018433947,0.0016009609,0.97012305,0.0055423114
0.0042583784,0.0010266069,0.0019083777,0.9893062,0.0035005305
0.0037542626,0.0019893937,0.0010969077,0.99206436,0.0010951286
0.003305133,0.99152315,0.0012048129,0.00078903255,0.0031778687
0.0043305857,0.9861055,0.0027515066,0.0016592359,0.0051531624
0.0161056,0.016857253,0.0021149353,0.95866275,0.0062595056
0.0016713325,0.9960947,0.0007481723,0.0004291103,0.0010566523
0.0019453003,0.9899545,0.0019044904,0.001035431,0.005160412
0.00660799,0.0047191298,0.0036551172,0.9826504,0.0023673412
0.010150947,0.0018950193,0.0010888543,0.9799864,0.006878838
0.37026528,0.0127930455,0.009710443,0.45731813,0.14991313
0.65905297,0.0370986,0.016870385,0.15934113,0.12763692
0.0054115597,0.003299403,0.003635454,0.98586607,0.0017875241
0.00247913,0.0014127978,0.0021613478,0.9920716,0.0018752143
0.0073522357,0.9342114,0.004499547,0.0023345135,0.05160235
0.0071187597,0.9836818,0.0030922024,0.00087108696,0.0052362443
